Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
397,8.74369049072266,5.68168258666992,8.64625453948975
397.5,9.07660675048828,5.91392374038696,8.68610286712646
398,9.40411376953125,6.02427291870117,8.72700214385986
398.5,9.70373821258545,6.00843334197998,8.77053928375244
399,9.95519161224365,5.8742094039917,8.81735897064209
399.5,10.1417531967163,5.639723777771,8.86761093139648
400,10.2514772415161,5.33051681518555,8.92102718353271
400.5,10.2781352996826,4.976243019104,8.97695064544678
401,10.2215375900269,4.60756778717041,9.03450584411621
401.5,10.0873165130615,4.25368642807007,9.09276962280273
402,9.88624095916748,3.94045567512512,9.15071487426758
402.5,9.63305854797363,3.68899750709534,9.20695209503174
403,9.34515285491943,3.51460957527161,9.25961303710938
403.5,9.04116153717041,3.42601180076599,9.30666637420654
404,8.73970413208008,3.42499661445618,9.34667110443115
404.5,8.4582405090332,3.50651407241821,9.37984466552735
405,8.2120943069458,3.65931272506714,9.40885162353516
405.5,8.01404190063477,3.86748576164246,9.43873023986816
406,7.87427854537964,4.11275243759155,9.47520923614502
406.5,7.80041170120239,4.37649917602539,9.52274990081787
407,7.79717254638672,4.64083909988403,9.5838794708252
407.5,7.86604881286621,4.88897752761841,9.65906620025635
408,8.00480270385742,5.10528707504272,9.74633502960205
408.5,8.20705223083496,5.27529191970825,9.84149646759033
409,8.46217823028564,5.38608360290527,9.93916130065918
409.5,8.75563049316406,5.42748165130615,10.0340003967285
410,9.0696907043457,5.39366436004639,10.1216440200806
410.5,9.38452243804932,5.28488874435425,10.1990251541138
411,9.67946529388428,5.10871696472168,10.264386177063
411.5,9.93444061279297,4.88037872314453,10.3172206878662
412,10.131402015686,4.62196111679077,10.3581886291504
412.5,10.255763053894,4.36040639877319,10.3890008926392
413,10.2977113723755,4.12446546554565,10.4122161865234
413.5,10.253191947937,3.94099354743958,10.4309520721436
414,10.1244487762451,3.83114361763,10.4487943649292
414.5,9.92002391815186,3.80719995498657,10.4695081710815
415,9.65413761138916,3.87069344520569,10.4964570999146
415.5,9.345458984375,4.01213073730469,10.5322647094727
416,9.01549243927002,4.21230411529541,10.578649520874
416.5,8.68674278259277,4.4447865486145,10.6361885070801
417,8.380859375,4.67920017242432,10.703953742981
417.5,8.11701583862305,4.88494491577148,10.7792644500732
418,7.91073179244995,5.03514623641968,10.8578310012817
418.5,7.77322387695313,5.11049842834473,10.9343366622925
419,7.71130228042603,5.10238742828369,11.0035953521729
419.5,7.72761726379395,5.01442909240723,11.0618524551392
420,7.82098007202149,4.8619384765625,11.1075620651245
420.5,7.98655462265015,4.66911268234253,11.1415271759033
421,8.21581649780273,4.46463346481323,11.1667833328247
421.5,8.49651432037354,4.27669334411621,11.1880750656128
422,8.81277656555176,4.1286187171936,11.2107915878296
422.5,9.14562797546387,4.03590440750122,11.2400159835815
423,9.47413158416748,4.00493812561035,11.2801485061646
423.5,9.77687168121338,4.03319025039673,11.3345556259155
424,10.0334806442261,4.11048650741577,11.4049463272095
424.5,10.2259645462036,4.22099828720093,11.4907560348511
425,10.3398399353027,4.34565353393555,11.5888662338257
425.5,10.3651247024536,4.46495199203491,11.6937780380249
426,10.2973022460938,4.56192684173584,11.7982625961304
426.5,10.1381721496582,4.62507200241089,11.8946704864502
427,9.89648056030273,4.6505331993103,11.9766778945923
427.5,9.58795642852783,4.6429443359375,12.0404062271118
428,9.23450469970703,4.6144814491272,12.0847883224487
428.5,8.86253929138184,4.58223152160645,12.1113357543945
429,8.50071907043457,4.56438207626343,12.1236400604248
429.5,8.17741012573242,4.57615280151367,12.1266040802002
430,7.91821432113647,4.62642431259155,12.1256370544434
430.5,7.74383640289307,4.71568298339844,12.1261157989502
431,7.66842269897461,4.83548593521118,12.1332569122314
431.5,7.69834041595459,4.9693169593811,12.1517295837402
432,7.83134031295776,5.0945782661438,12.1852140426636
432.5,8.05629253387451,5.18549251556396,12.2359132766724
433,8.35373497009277,5.21676206588745,12.304253578186
433.5,8.69746017456055,5.1677942276001,12.3886804580688
434,9.05719947814941,5.02697515487671,12.4861221313477
434.5,9.40195941925049,4.79509973526001,12.5925283432007
435,9.70335578918457,4.48692226409912,12.7034540176392
435.5,9.93850135803223,4.13024234771729,12.8144245147705
436,10.0918159484863,3.76255178451538,12.9212818145752
436.5,10.155592918396,3.42594647407532,13.0204210281372
437,10.1297569274902,3.16150856018066,13.1092576980591
437.5,10.0210523605347,3.00409173965454,13.1866436004639
438,9.84202098846436,2.97821664810181,13.2530708312988
438.5,9.60965633392334,3.09542560577393,13.3103904724121
439,9.34392642974854,3.35311627388,13.3609428405762
439.5,9.06619644165039,3.73484659194946,13.406702041626
440,8.79759407043457,4.21192264556885,13.4486246109009
440.5,8.55756282806396,4.74605512619019,13.4866609573364
441,8.36268138885498,5.2927508354187,13.5203800201416
441.5,8.22580528259277,5.80514001846313,13.5498523712158
442,8.15553665161133,6.23792695999146,13.576343536377
442.5,8.15595531463623,6.55121421813965,13.6022710800171
443,8.22637271881104,6.71396684646607,13.6303977966309
443.5,8.36117744445801,6.70685720443726,13.6627349853516
444,8.54993152618408,6.52429676055908,13.6999940872192
444.5,8.77787780761719,6.17544794082642,13.7415618896484
445,9.02678775787354,5.68405771255493,13.7860279083252
445.5,9.27617263793945,5.0869927406311,13.8322744369507
446,9.50481510162354,4.43145942687988,13.880558013916
446.5,9.69256973266602,3.77109003067017,13.9328327178955
447,9.82223224639893,3.16114211082459,13.9921531677246
447.5,9.88137054443359,2.65335941314697,14.0614547729492
448,9.86377048492432,2.29102849960327,14.1424531936646
448.5,9.77036285400391,2.10481142997742,14.234959602356
449,9.60921955108643,2.10986304283142,14.3366813659668
449.5,9.39463520050049,2.30457043647766,14.4434328079224
450,9.14539337158203,2.6710193157196,14.5498294830322
450.5,8.88259696960449,3.1770133972168,14.6502742767334
451,8.62747192382813,3.77940630912781,14.7399654388428
451.5,8.39962291717529,4.42827701568604,14.8158006668091
452,8.21584129333496,5.07154893875122,14.8768424987793
452.5,8.08948612213135,5.6595892906189,14.9243259429932
